Código,0 - 14,15 - 64,65 y más,Total,COMUNAS
02001,31731.0,145031.0,29124.0,205886.0,1
02002,17402.0,109265.0,31265.0,157932.0,2
02003,28102.0,129407.0,30028.0,187537.0,3
02004,45747.0,144378.0,28120.0,218245.0,4
02005,25960.0,122245.0,30800.0,179005.0,5
02006,25136.0,118672.0,32268.0,176076.0,6
02007,41201.0,144786.0,34604.0,220591.0,7
02008,47233.0,120583.0,19421.0,187237.0,8
02009,30271.0,104830.0,26696.0,161797.0,9
02010,27631.0,109298.0,29093.0,166022.0,10
02011,30366.0,125316.0,34150.0,189832.0,11
02012,31529.0,133926.0,34661.0,200116.0,12
02013,32683.0,155085.0,43563.0,231331.0,13
02014,28767.0,156645.0,40558.0,225970.0,14
02015,28752.0,124102.0,29720.0,182574.0,15
