Código,Varón,Mujer,Total,COMUNAS
02001,98097.0,107789.0,205886.0,1
02002,68042.0,89890.0,157932.0,2
02003,85601.0,101936.0,187537.0,3
02004,103166.0,115079.0,218245.0,4
02005,80806.0,98199.0,179005.0,5
02006,78870.0,97206.0,176076.0,6
02007,102481.0,118110.0,220591.0,7
02008,89545.0,97692.0,187237.0,8
02009,76207.0,85590.0,161797.0,9
02010,76972.0,89050.0,166022.0,10
02011,88469.0,101363.0,189832.0,11
02012,92527.0,107589.0,200116.0,12
02013,103832.0,127499.0,231331.0,13
02014,100581.0,125389.0,225970.0,14
02015,84485.0,98089.0,182574.0,15
